timestamp_utc,elapsed_s,armed,flight_mode,lat_deg,lon_deg,alt_agl_m,alt_amsl_m,vx_ms,vy_ms,vz_ms,roll_deg,pitch_deg,yaw_deg,groundspeed_ms,airspeed_ms,heading_deg,throttle_pct,battery_v,battery_a,battery_pct,gps_fix_type,satellites_visible,rc1,rc2,rc3,rc4,rc5,rc6,rc7,rc8,last_status_text
2026-07-09T13:56:13.596Z,11.792,False,STABILIZE,0.0000000,0.0000000,-0.50,0.00,0.00,0.00,0.00,2.18,1.30,84.33,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:14.184Z,12.382,False,STABILIZE,0.0000000,0.0000000,-0.52,0.00,0.00,0.00,0.00,2.18,1.30,84.34,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:14.684Z,12.882,False,STABILIZE,0.0000000,0.0000000,-0.53,0.00,0.00,0.00,0.00,2.18,1.30,84.34,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:15.184Z,13.382,False,STABILIZE,0.0000000,0.0000000,-0.52,0.00,0.00,0.00,0.00,2.18,1.30,84.34,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:15.685Z,13.883,False,STABILIZE,0.0000000,0.0000000,-0.52,0.00,0.00,0.00,0.00,2.18,1.31,84.34,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:16.186Z,14.384,False,STABILIZE,0.0000000,0.0000000,-0.50,0.00,0.00,0.00,0.00,2.18,1.31,84.34,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:16.686Z,14.884,False,STABILIZE,0.0000000,0.0000000,-0.54,0.00,0.00,0.00,0.00,2.18,1.31,84.34,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:17.194Z,15.392,False,STABILIZE,0.0000000,0.0000000,-0.54,0.00,0.00,0.00,0.00,2.18,1.31,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:17.694Z,15.892,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.17,1.31,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:18.197Z,16.395,False,STABILIZE,0.0000000,0.0000000,-0.54,0.00,0.00,0.00,0.00,2.17,1.31,84.34,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:18.791Z,16.989,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.17,1.30,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:19.292Z,17.490,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.17,1.30,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:19.794Z,17.992,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.17,1.30,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:20.298Z,18.496,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.17,1.30,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:20.805Z,19.003,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.17,1.30,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:21.385Z,19.583,False,STABILIZE,0.0000000,0.0000000,-0.52,0.00,0.00,0.00,0.00,2.16,1.30,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:21.885Z,20.083,False,STABILIZE,0.0000000,0.0000000,-0.50,0.00,0.00,0.00,0.00,2.16,1.30,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:22.387Z,20.585,False,STABILIZE,0.0000000,0.0000000,-0.52,0.00,0.00,0.00,0.00,2.16,1.30,84.34,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:22.887Z,21.085,False,STABILIZE,0.0000000,0.0000000,-0.54,0.00,0.00,0.00,0.00,2.16,1.30,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:23.387Z,21.585,False,STABILIZE,0.0000000,0.0000000,-0.55,0.00,0.00,0.00,0.00,2.16,1.30,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:23.887Z,22.085,False,STABILIZE,0.0000000,0.0000000,-0.52,0.00,0.00,0.00,0.00,2.16,1.30,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:24.387Z,22.585,False,STABILIZE,0.0000000,0.0000000,-0.52,0.00,0.00,0.00,0.00,2.16,1.30,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:24.887Z,23.085,False,STABILIZE,0.0000000,0.0000000,-0.53,0.00,0.00,0.00,0.00,2.16,1.30,84.34,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:25.387Z,23.585,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.16,1.29,84.34,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:25.890Z,24.088,False,STABILIZE,0.0000000,0.0000000,-0.50,0.00,0.00,0.00,0.00,2.16,1.29,84.34,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:26.391Z,24.589,False,STABILIZE,0.0000000,0.0000000,-0.53,0.00,0.00,0.00,0.00,2.16,1.29,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:26.892Z,25.090,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.16,1.29,84.35,0.01,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:27.484Z,25.682,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.16,1.28,84.34,0.01,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:27.984Z,26.182,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.16,1.28,84.34,0.01,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:28.484Z,26.682,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.16,1.29,84.34,0.01,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:28.984Z,27.182,False,STABILIZE,0.0000000,0.0000000,-0.53,0.00,0.00,0.00,0.00,2.16,1.29,84.35,0.01,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:29.484Z,27.682,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.16,1.29,84.35,0.01,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:29.984Z,28.182,False,STABILIZE,0.0000000,0.0000000,-0.53,0.00,0.00,0.00,0.00,2.17,1.29,84.35,0.01,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:30.487Z,28.685,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.17,1.30,84.35,0.01,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:30.990Z,29.188,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.17,1.30,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:31.492Z,29.690,False,STABILIZE,0.0000000,0.0000000,-0.50,0.00,0.00,0.00,0.00,2.17,1.30,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:31.993Z,30.191,False,STABILIZE,0.0000000,0.0000000,-0.50,0.00,0.00,0.00,0.00,2.17,1.30,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:32.493Z,30.691,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.17,1.31,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:32.997Z,31.195,False,STABILIZE,0.0000000,0.0000000,-0.49,0.00,0.00,0.00,0.00,2.17,1.31,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:33.585Z,31.783,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.17,1.31,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:34.085Z,32.283,False,STABILIZE,0.0000000,0.0000000,-0.49,0.00,0.00,0.00,0.00,2.17,1.31,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:34.587Z,32.785,False,STABILIZE,0.0000000,0.0000000,-0.50,0.00,0.00,0.00,0.00,2.16,1.30,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:35.087Z,33.285,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.16,1.30,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:35.587Z,33.785,False,STABILIZE,0.0000000,0.0000000,-0.54,0.00,0.00,0.00,0.00,2.16,1.30,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:36.088Z,34.286,False,STABILIZE,0.0000000,0.0000000,-0.49,0.00,0.00,0.00,0.00,2.16,1.30,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:36.589Z,34.787,False,STABILIZE,0.0000000,0.0000000,-0.51,0.00,0.00,0.00,0.00,2.16,1.30,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:37.090Z,35.288,False,STABILIZE,0.0000000,0.0000000,-0.47,0.00,0.00,0.00,0.00,2.16,1.30,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:37.591Z,35.789,False,STABILIZE,0.0000000,0.0000000,-0.52,0.00,0.00,0.00,0.00,2.16,1.30,84.35,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:38.092Z,36.290,False,STABILIZE,0.0000000,0.0000000,-0.49,0.00,0.00,0.00,0.00,2.16,1.30,84.36,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:38.592Z,36.790,False,STABILIZE,0.0000000,0.0000000,-0.49,0.00,0.00,0.00,0.00,2.16,1.30,84.36,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:39.092Z,37.290,False,STABILIZE,0.0000000,0.0000000,-0.52,0.00,0.00,0.00,0.00,2.16,1.30,84.36,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
2026-07-09T13:56:39.593Z,37.791,False,STABILIZE,0.0000000,0.0000000,-0.50,0.00,0.00,0.00,0.00,2.16,1.30,84.36,0.00,0.00,84.0,0,0.000,-0.01,-1,1,0,0,0,0,0,0,0,0,0,PreArm: Board (4.0v) out of range 4.3-5.8v
