timestamp,state,armed,flight_mode,lat,lon,alt_agl,alt_amsl,vx,vy,vz,batt_v,batt_pct,gps_fix,gps_sats,target_x,target_y,target_z,target_vx,target_vy,target_vz,cmd_vx,cmd_vy,cmd_vz
1787213422.8245869,SEARCHING,0,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1787213423.7421749,SEARCHING,0,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1787213424.7886417,TRACKING,0,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,-0.7830307482996255,0.4012321363574672,2.9945713278937136,0.023903363015435452,-0.007680633208082894,-0.04906373957043832,0.0,0.0,0.0
1787213425.738473,TRACKING,0,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,-0.7814398466944871,0.40072094754728477,2.99130586344897,0.02374427285492161,-0.007629514327064654,-0.04873719312596395,0.0,0.0,0.0
1787213426.662165,TRACKING,0,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,-0.7798595334233651,0.40021316098262794,2.988062132484253,0.02358624152780941,-0.007578735670598968,-0.048412820029492265,0.0,0.0,0.0
1787213427.5874753,TRACKING,0,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,-0.32908444390390224,0.21930728554675966,1.6386216367490818,0.8774801204949981,-0.35051630300806524,-2.6075861320393003,0.0,0.0,0.0
1787213428.424681,TRACKING,0,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,-0.13366937989584532,0.14120671519788627,1.0561308583051943,1.168613217689396,-0.46689946565678253,-3.4765986685420174,0.0,0.0,0.0
1787213429.2440755,TRACKING,0,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,-0.01411972998588934,0.09336112943822081,0.6993016060044512,1.2588378407303624,-0.5031385325538007,-3.7477638266800035,0.0,0.0,0.0
1787213429.9898906,TRACKING,0,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0.06654009874024765,0.06081843723947064,0.4585269080758075,1.242951713834132,-0.4975203767142587,-3.7020005537478027,0.0,0.0,0.0
1787213430.7814584,TRACKING,0,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0.1492654405832082,0.027705692167043865,0.21213820455414817,1.234679179649836,-0.494209102207016,-3.6773616833956373,0.0,0.0,0.0
1787213431.5603771,TRACKING,0,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0.23144019931768062,-0.005186669190956424,-0.032610645262961466,1.226461703776389,-0.49091986607121607,-3.6528867984139266,0.0,0.0,0.0
1787213432.3443854,TRACKING,0,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0.3130680393801314,-0.03786011361058514,-0.27573055551295506,1.218298919770144,-0.4876525216292532,-3.6285748073889277,0.0,0.0,0.0
1787213433.122663,TRACKING,0,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0.3941526008181665,-0.07031609810568766,-0.5172323676936181,1.2101904636263405,-0.484406923179743,-3.6044246261708612,0.0,0.0,0.0
1787213433.8671038,TRACKING,0,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0.47469749945285294,-0.10255606999287277,-0.7571268511465454,1.2021359737628718,-0.48118292599102447,-3.580435177825569,0.0,0.0,0.0
1787213434.5966513,TRACKING,0,UNKNOWN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0,0,0.5547063270399596,-0.1345814669560532,-0.9954247035373806,1.1941350910041613,-0.47798038629470646,-3.556605392586486,0.0,0.0,0.0
